iter	Passed	Remaining
981	65864	68278
982	65930	68210
983	65994	68140
984	66062	68074
985	66131	68008
986	66199	67943
987	66265	67875
988	66333	67808
989	66397	67739
990	66464	67671
991	66532	67605
992	66604	67543
993	66674	67479
994	66742	67413
995	66804	67341
996	66871	67273
997	66942	67211
998	67013	67147
999	67080	67080
1000	67151	67016
1001	67222	66953
1002	67287	66884
1003	67354	66817
1004	67453	66782
1005	67516	66711
1006	67582	66642
1007	67649	66575
1008	67715	66507
1009	67784	66442
1010	67852	66375
1011	67920	66310
1012	67987	66242
1013	68052	66173
1014	68122	66109
1015	68187	66040
1016	68254	65972
1017	68320	65904
1018	68391	65840
1019	68461	65776
1020	68525	65706
1021	68594	65641
1022	68666	65579
1023	68737	65515
1024	68797	65441
1025	68861	65371
1026	68926	65302
1027	68992	65234
1028	69060	65168
1029	69127	65100
1030	69195	65034
1031	69259	64964
1032	69328	64899
1033	69389	64826
1034	69455	64758
1035	69520	64688
1036	69587	64621
1037	69654	64554
1038	69723	64489
1039	69786	64418
1040	69857	64354
1041	69924	64287
1042	69985	64214
1043	70050	64145
1044	70114	64076
1045	70182	64009
1046	70249	63942
1047	70312	63871
1048	70383	63808
1049	70447	63738
1050	70516	63672
1051	70586	63608
1052	70655	63542
1053	70723	63476
1054	70797	63415
1055	70871	63354
1056	70940	63289
1057	71009	63223
1058	71076	63156
1059	71144	63090
1060	71212	63024
1061	71283	62959
1062	71349	62892
1063	71412	62821
1064	71483	62757
1065	71551	62691
1066	71623	62628
1067	71688	62559
1068	71757	62493
1069	71820	62423
1070	71888	62356
1071	71952	62287
1072	72019	62219
1073	72091	62157
1074	72156	62088
1075	72227	62024
1076	72293	61956
1077	72362	61890
1078	72431	61825
1079	72497	61757
1080	72567	61692
1081	72631	61622
1082	72699	61556
1083	72772	61494
1084	72837	61425
1085	72907	61360
1086	72974	61293
1087	73040	61224
1088	73108	61158
1089	73177	61092
1090	73245	61026
1091	73313	60960
1092	73382	60894
1093	73448	60826
1094	73515	60759
1095	73584	60693
1096	73650	60626
1097	73721	60561
1098	73784	60491
1099	73853	60425
1100	73923	60361
1101	73994	60297
1102	74063	60231
1103	74132	60165
1104	74203	60101
1105	74271	60034
1106	74338	59967
1107	74408	59902
1108	74472	59833
1109	74544	59769
1110	74617	59707
1111	74681	59637
1112	74749	59570
1113	74818	59505
1114	74882	59435
1115	74950	59369
1116	75012	59297
1117	75080	59231
1118	75147	59164
1119	75213	59096
1120	75283	59031
1121	75349	58962
1122	75418	58897
1123	75483	58828
1124	75549	58760
1125	75616	58693
1126	75686	58628
1127	75757	58564
1128	75824	58496
1129	75890	58428
1130	75960	58364
1131	76028	58297
1132	76097	58231
1133	76162	58162
1134	76230	58096
1135	76297	58029
1136	76363	57961
1137	76432	57895
1138	76501	57829
1139	76567	57761
1140	76634	57694
1141	76705	57629
1142	76774	57564
1143	76845	57499
1144	76917	57436
1145	76987	57370
1146	77056	57305
1147	77122	57237
1148	77194	57173
1149	77265	57108
1150	77336	57045
1151	77402	56977
1152	77471	56911
1153	77536	56842
1154	77608	56778
1155	77682	56716
1156	77752	56650
1157	77818	56583
1158	77883	56514
1159	77951	56447
1160	78020	56381
1161	78085	56313
1162	78157	56248
1163	78225	56182
1164	78297	56118
1165	78366	56053
1166	78434	55986
1167	78501	55918
1168	78568	55851
1169	78635	55784
1170	78701	55716
1171	78767	55648
1172	78841	55585
1173	78911	55520
1174	78980	55454
1175	79046	55386
1176	79113	55319
1177	79181	55252
1178	79251	55187
1179	79321	55122
1180	79388	55054
1181	79460	54990
1182	79520	54918
1183	79592	54854
1184	79658	54785
1185	79726	54719
1186	79797	54654
1187	79863	54587
1188	79933	54521
1189	80004	54456
1190	80073	54390
1191	80142	54324
1192	80208	54256
1193	80276	54189
1194	80342	54121
1195	80413	54057
1196	80479	53988
1197	80549	53923
1198	80614	53854
1199	80684	53789
1200	80751	53722
1201	80822	53657
1202	80891	53591
1203	80961	53526
1204	81034	53462
1205	81101	53394
1206	81166	53326
1207	81235	53260
1208	81305	53195
1209	81373	53127
1210	81439	53060
1211	81514	52998
1212	81582	52930
1213	81651	52864
1214	81723	52800
1215	81793	52735
1216	81864	52670
1217	81924	52598
1218	81994	52532
1219	82060	52464
1220	82129	52398
1221	82199	52332
1222	82267	52266
1223	82338	52201
1224	82409	52136
1225	82476	52068
1226	82546	52003
1227	82618	51939
1228	82688	51873
1229	82760	51809
1230	82827	51741
1231	82916	51688
1232	83001	51631
1233	83081	51572
1234	83181	51525
1235	83253	51460
1236	83329	51398
1237	83392	51329
1238	83460	51261
1239	83532	51197
1240	83602	51131
1241	83674	51067
1242	83741	50999
1243	83812	50934
1244	83881	50867
1245	83947	50799
1246	84018	50734
1247	84089	50669
1248	84163	50605
1249	84230	50538
1250	84296	50470
1251	84366	50404
1252	84438	50339
1253	84512	50275
1254	84586	50212
1255	84658	50147
1256	84724	50079
1257	84794	50014
1258	84866	49949
1259	84935	49882
1260	85000	49813
1261	85067	49746
1262	85136	49679
1263	85208	49615
1264	85276	49548
1265	85348	49483
1266	85418	49417
1267	85490	49352
1268	85557	49285
1269	85630	49220
1270	85696	49152
1271	85764	49085
1272	85828	49016
1273	85898	48949
1274	85967	48883
1275	86040	48819
1276	86107	48751
1277	86170	48681
1278	86241	48616
1279	86313	48551
1280	86380	48483
1281	86452	48419
1282	86522	48352
1283	86588	48284
1284	86661	48220
1285	86728	48152
1286	86799	48087
1287	86869	48020
1288	86939	47955
1289	87004	47886
1290	87076	47821
1291	87144	47754
1292	87215	47688
1293	87284	47622
1294	87358	47558
1295	87425	47490
1296	87492	47422
1297	87562	47356
1298	87631	47289
1299	87700	47223
1300	87773	47158
1301	87844	47093
1302	87917	47028
1303	87988	46963
1304	88057	46896
1305	88131	46832
1306	88201	46766
1307	88272	46700
1308	88345	46635
1309	88411	46567
1310	88476	46499
1311	88551	46435
1312	88620	46369
1313	88692	46303
1314	88761	46237
1315	88834	46172
1316	88903	46105
1317	88969	46037
1318	89034	45968
1319	89106	45903
1320	89177	45837
1321	89244	45769
1322	89314	45703
1323	89384	45637
1324	89450	45569
1325	89524	45504
1326	89591	45437
1327	89664	45372
1328	89734	45306
1329	89807	45241
1330	89876	45174
1331	89944	45107
1332	90016	45041
1333	90086	44975
1334	90158	44910
1335	90226	44843
1336	90295	44776
1337	90361	44707
1338	90430	44641
1339	90495	44572
1340	90560	44503
1341	90627	44435
1342	90701	44371
1343	90767	44302
1344	90836	44236
1345	90909	44171
1346	90978	44104
1347	91050	44039
1348	91118	43972
1349	91190	43906
1350	91260	43840
1351	91330	43773
1352	91395	43705
1353	91467	43639
1354	91538	43573
1355	91607	43506
1356	91681	43442
1357	91749	43374
1358	91850	43323
1359	91918	43255
1360	91988	43189
1361	92052	43120
1362	92121	43052
1363	92191	42986
1364	92261	42920
1365	92331	42853
1366	92397	42785
1367	92468	42719
1368	92534	42651
1369	92603	42584
1370	92668	42515
1371	92736	42448
1372	92799	42378
1373	92870	42312
1374	92942	42246
1375	93013	42180
1376	93085	42114
1377	93151	42046
1378	93224	41981
1379	93298	41916
1380	93364	41848
1381	93438	41783
1382	93507	41716
1383	93577	41650
1384	93649	41584
1385	93722	41519
1386	93794	41453
1387	93861	41385
1388	93929	41318
1389	93998	41251
1390	94066	41183
1391	94138	41118
1392	94210	41052
1393	94283	40987
1394	94351	40919
1395	94420	40852
1396	94486	40784
1397	94560	40719
1398	94625	40650
1399	94690	40581
1400	94759	40514
1401	94829	40448
1402	94901	40381
1403	94963	40312
1404	95040	40248
1405	95110	40181
1406	95179	40114
1407	95247	40047
1408	95322	39982
1409	95393	39916
1410	95465	39850
1411	95532	39782
1412	95599	39714
1413	95670	39648
1414	95736	39580
1415	95802	39511
1416	95871	39444
1417	95944	39379
1418	96012	39311
1419	96083	39245
1420	96152	39178
1421	96216	39109
1422	96285	39042
1423	96358	38976
1424	96420	38906
1425	96487	38838
1426	96558	38772
1427	96623	38703
1428	96689	38635
1429	96761	38569
1430	96829	38501
1431	96899	38434
1432	96972	38369
1433	97043	38302
1434	97111	38235
1435	97185	38170
1436	97254	38102
1437	97325	38036
1438	97390	37968
1439	97462	37902
1440	97532	37835
1441	97599	37767
1442	97671	37701
1443	97741	37634
1444	97807	37566
1445	97879	37500
1446	97946	37432
1447	98015	37364
1448	98082	37296
1449	98155	37231
1450	98227	37165
1451	98297	37098
1452	98367	37031
1453	98433	36963
1454	98506	36897
1455	98576	36830
1456	98644	36763
1457	98715	36696
1458	98781	36628
1459	98847	36560
1460	98919	36493
1461	98985	36425
1462	99056	36359
1463	99122	36290
1464	99193	36224
1465	99263	36157
1466	99337	36092
1467	99408	36025
1468	99479	35958
1469	99542	35889
1470	99611	35822
1471	99675	35753
1472	99746	35686
1473	99813	35618
1474	99876	35549
1475	99946	35482
1476	100015	35415
1477	100084	35347
1478	100149	35279
1479	100219	35212
1480	100289	35145
1481	100360	35078
1482	100428	35011
1483	100498	34944
1484	100569	34877
1485	100636	34809
1486	100701	34741
1487	100773	34674
1488	100841	34607
1489	100912	34540
1490	100984	34474
1491	101050	34405
1492	101122	34339
1493	101190	34271
1494	101257	34204
1495	101329	34137
1496	101400	34071
1497	101468	34003
1498	101538	33936
1499	101608	33869
1500	101675	33801
1501	101743	33733
1502	101807	33664
1503	101880	33599
1504	101957	33534
1505	102024	33466
1506	102096	33399
1507	102172	33334
1508	102248	33269
1509	102328	33205
1510	102404	33140
1511	102480	33075
1512	102547	33007
1513	102616	32940
1514	102689	32874
1515	102765	32808
1516	102841	32743
1517	102918	32679
1518	102994	32613
1519	103066	32547
1520	103134	32479
1521	103200	32411
1522	103271	32344
1523	103341	32277
1524	103408	32209
1525	103479	32142
1526	103547	32074
1527	103619	32008
1528	103689	31940
1529	103757	31873
1530	103823	31804
1531	103893	31737
1532	103964	31670
1533	104037	31604
1534	104102	31535
1535	104175	31469
1536	104244	31402
1537	104317	31335
1538	104384	31267
1539	104452	31200
1540	104519	31132
1541	104589	31064
1542	104657	30996
1543	104721	30928
1544	104793	30861
1545	104863	30794
1546	104925	30724
1547	104995	30657
1548	105060	30588
1549	105129	30521
1550	105196	30453
1551	105261	30384
1552	105335	30318
1553	105400	30250
1554	105468	30182
1555	105539	30115
1556	105602	30046
1557	105668	29977
1558	105735	29909
1559	105805	29842
1560	105873	29774
1561	105938	29706
1562	106009	29639
1563	106076	29571
1564	106145	29503
1565	106211	29435
1566	106283	29368
1567	106351	29300
1568	106419	29233
1569	106487	29165
1570	106559	29098
1571	106631	29031
1572	106703	28965
1573	106773	28897
1574	106844	28831
1575	106913	28763
1576	106985	28696
1577	107054	28629
1578	107125	28562
1579	107188	28493
1580	107258	28425
1581	107325	28357
1582	107394	28290
1583	107462	28222
1584	107532	28155
1585	107604	28088
1586	107670	28019
1587	107735	27951
1588	107801	27883
1589	107868	27815
1590	107936	27747
1591	108007	27680
1592	108077	27612
1593	108148	27546
1594	108218	27478
1595	108285	27410
1596	108351	27342
1597	108422	27275
1598	108492	27207
1599	108562	27140
1600	108626	27071
1601	108698	27004
1602	108768	26937
1603	108838	26870
1604	108907	26802
1605	108977	26735
1606	109045	26667
1607	109115	26600
1608	109189	26533
1609	109259	26466
1610	109326	26398
1611	109392	26330
1612	109462	26262
1613	109533	26195
1614	109600	26127
1615	109666	26059
1616	109731	25990
1617	109801	25923
1618	109874	25856
1619	109938	25788
1620	110007	25720
1621	110075	25652
1622	110143	25584
1623	110208	25516
1624	110275	25448
